Number,Variable,Data Type,Length,Path,File,Agent Role,Model Field,Description
1,alpha_E,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Autoregressive coefficient for exports, representing the persistence of foreign demand."
2,beta_E,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Scalar constant for exports, acting as the baseline trend for export volume."
3,sigma_E,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Variance coefficient for exports, controlling the magnitude of random shocks to foreign demand."
4,alpha_I,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Autoregressive coefficient for imports, representing the persistence of foreign supply."
5,beta_I,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Scalar constant for imports, acting as the baseline trend for import volume."
6,sigma_I,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Variance coefficient for imports, controlling the volatility of foreign supply."
7,Y_EA,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"GDP Euro Area, representing the current aggregate output of the external economic zone."
8,gamma_EA,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Realized growth rate of the Euro Area economy for the current period."
9,pi_EA,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Aggregate price inflation in the Euro Area for the current period."
10,alpha_pi_EA,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Autoregressive coefficient for Euro Area inflation (persistence of external price trends)."
11,beta_pi_EA,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Constant for Euro Area inflation (baseline external inflation trend)."
12,sigma_pi_EA,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Variance coefficient for Euro Area inflation (volatility of external price shocks)."
13,alpha_Y_EA,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Autoregressive coefficient for Euro Area GDP (persistence of external output level)."
14,beta_Y_EA,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Constant for Euro Area GDP (long-term baseline output for the external region)."
15,sigma_Y_EA,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Variance coefficient for Euro Area GDP (magnitude of external business cycle shocks)."
16,D_RoW,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Net creditor/debtor position of the national economy (accumulated trade balance)."
17,Y_I,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Total supply of imports available to domestic buyers (real volume)."
18,C_E,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Total demand for exports from all foreign buyers."
19,C_d_l,Float,312,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Demand for exports of specific product varieties. Vector length scales with the number of firms."
20,C_l,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Realised consumption by foreign consumers after market matching (total actual exports)."
21,Y_m,Float,62,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Supply of imports per domestic sector. Vector length matches the number of sectors (G)."
22,Q_m,Float,62,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Realised sales of imports per domestic sector after market matching."
23,Q_d_m,Float,62,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Demand for imported goods per domestic sector."
24,P_m,Float,62,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Price of imports per domestic sector."
25,P_l,Float,Scalar,/src/model_init/,agents.jl,RestOfTheWorld,model.rotw,"Price inflation of exports (aggregate tracking variable)."
26,Y_EA_series,Float,"Non-fixed",/src/model_ext/,init_CANVAS.jl,RestOfTheWorld,model.rotw,"Historical time series of Euro Area GDP. Used for adaptive learning by the Central Bank. Its length grows by +1 at every simulation step."
27,pi_EA_series,Float,"Non-fixed",/src/model_ext/,init_CANVAS.jl,RestOfTheWorld,model.rotw,"Historical time series of Euro Area Inflation. Used for adaptive learning by the Central Bank. Its length grows by +1 at every simulation step."
